id	filename	md5	size	state
7006882d-6475-459a-8856-18777b942cb0	TCGA-A7-A13E-01Z-00-DX1.891954FF-316A-4562-AA14-429631944F22.svs	64bf2b16f820867c0b302a99b36b6c3b	395083323	validated
825963be-43a1-4666-b843-e59f158c688d	TCGA-CH-5767-01Z-00-DX1.5a8d8c09-2837-4981-9c43-defa67d2a3fc.svs	23dc19240f3c0d92ea52037606f89660	116459527	validated
85aa55a7-3c6a-420e-8325-6f9df0c5caab	TCGA-B0-5698-01Z-00-DX1.e7739945-c890-46f9-ba2b-f2cd2ae39567.svs	b92870e9f740e27677f428e052f2d9a1	1287087641	validated
8728fbe6-3b2e-4a61-bdff-7a4226a5d7f9	TCGA-RD-A8N9-01Z-00-DX1.70899C63-3C5D-4993-8215-F7452ADE134D.svs	dfb4a870e991eb4857cf98583c4e60e8	1874569290	validated
8ef18a40-91b2-426b-bdbc-5331356cdf14	TCGA-HE-7130-01Z-00-DX1.1E46B522-6A18-4286-B84A-4C7FFD3B4833.svs	bd69358ab2507bb44f80ee4bbb012a40	243388836	validated
8f67591f-18f6-474f-89c3-850f228c2cd9	TCGA-E2-A1B5-01Z-00-DX1.AB19FF3D-5C42-4D49-ABEA-D2315709B6EA.svs	c2362d6774797cc7a0242133a551ae5d	1441854345	validated
9e7ff3b3-044f-4197-9df6-848e1e39a261	TCGA-B0-5710-01Z-00-DX1.1d30af81-4ce1-4574-9bca-c8f3e1f7f209.svs	e6a9f6f7d17d2bebd7b5665875f02a03	1218455961	validated
9fec64fa-2bb2-43ff-9c5a-8372903dc53f	TCGA-18-5592-01Z-00-DX1.41BD6380-A3A0-4ED1-8752-42BBC3B4680C.svs	b25f4bb4f5fab85d2a7442de7c5b06ff	839651720	validated
a36ffa1e-62a4-439e-82f1-cf53e8d830bf	TCGA-50-5931-01Z-00-DX1.34261ED6-7815-487C-A50C-2DAD587187B9.svs	868a2cf8d5651df8f4e550be07c22b76	1789908005	validated
b0b71982-0677-42df-939f-c96bc5cbf902	TCGA-AR-A1AK-01Z-00-DX1.0AFFA0B5-D1A6-43E9-892A-7CB16A79E5F9.svs	625cfe28c4f8cf257ffc3c85ae747e21	761551435	validated
b2f7d316-9dec-4930-b400-87b3a186110c	TCGA-AR-A1AS-01Z-00-DX1.72979519-0A90-42AD-9F23-1991F75C8CE7.svs	8c5768e9c197bc45866fffc8b4acc1cb	1820128441	validated
e7e2a065-63a9-4123-bd3b-ea866d9c6e55	TCGA-21-5786-01Z-00-DX1.928370C0-0BD4-43D6-94EB-FE7CB172265E.svs	3dc9bbb888fa65ba981acecaeaedfd4b	467125571	validated
eab45f20-0cac-43b0-8217-88ae579fa81d	TCGA-G9-6348-01Z-00-DX1.4c009944-287c-4025-b47c-75404e927d78.svs	e99b72144d2a88e445355ab63498a85e	832709111	validated
eced89b1-bd67-4647-bff1-5a12b7792202	TCGA-49-4488-01Z-00-DX1.c9beef33-2d53-4fcb-8293-f083d9fedddc.svs	b6ac434c6f77daafbd691d7a392a6f3b	443367245	validated
f92e4657-0fe3-4478-bc08-97ed9db9088f	TCGA-E2-A14V-01Z-00-DX1.D6274B5E-644C-478C-817F-B8BB9262D6F4.svs	ebb46e53834b329395fb0e8ddc532fa0	1015302105	validated
f9eb7b5f-857a-4feb-b18d-a35028028628	TCGA-G9-6363-01Z-00-DX1.390dc5bd-9d79-459c-8251-548c8f30cff0.svs	33ebc07b25e0066c7e51c719b48149fa	920733473	validated
fc6e93f4-b49a-49c5-9911-edb59fe5ef7a	TCGA-21-5784-01Z-00-DX1.E50E7F4B-BE37-4171-94A7-E824CFF4B3BB.svs	22b23e14290153f6e85c881345a27e32	454819241	validated
